,,,,,globalP,globalP,globalP,globalP,globalP,globalP,packetP,packetP,packetP,packetP,packetP,packetP,sessionP,sessionP,sessionP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_smf,phoenix_memory_cm_used_chunk_count_cm_globalP_smf,phoenix_memory_pool_create_count_cm_globalP_smf,phoenix_memory_pool_destroy_count_cm_globalP_smf,total_allocated_memory_globalP_smf,chunk_create_count_minus_destroy_count_cm_globalP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_smf,phoenix_memory_cm_used_chunk_count_cm_packetP_smf,phoenix_memory_pool_create_count_cm_packetP_smf,phoenix_memory_pool_destroy_count_cm_packetP_smf,total_allocated_memory_packetP_smf,chunk_create_count_minus_destroy_count_cm_packetP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_smf,phoenix_memory_cm_used_chunk_count_cm_sessionP_smf,phoenix_memory_pool_create_count_cm_sessionP_smf,phoenix_memory_pool_destroy_count_cm_sessionP_smf,total_allocated_memory_sessionP_smf,chunk_create_count_minus_destroy_count_cm_sessionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_smf,phoenix_memory_cm_used_chunk_count_cm_transactionP_smf,phoenix_memory_pool_create_count_cm_transactionP_smf,phoenix_memory_pool_destroy_count_cm_transactionP_smf,total_allocated_memory_transactionP_smf,chunk_create_count_minus_destroy_count_cm_transactionP_smf
timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-24 08:42:29,0,0,0,10000,8,35,35,0,31.998046875,35,19,66,726,667,32.0,59,5,46,51,5,31.998046875,46,1,5,128,123,32.0,5
2024-06-24 08:42:30,0,0,0,10000,8,35,35,0,31.998046875,35,19,66,749,690,32.0,59,5,46,51,5,31.998046875,46,1,5,131,126,32.0,5
2024-06-24 08:42:31,1,0,0,9999,8,35,35,0,31.998046875,35,19,69,783,722,32.0,61,8,73,85,12,31.998046875,73,2,5,141,136,32.0,5
2024-06-24 08:42:32,2,0,0,9998,8,35,35,0,31.998046875,35,22,71,822,759,32.0,63,8,100,119,19,31.998046875,100,2,5,151,146,32.0,5
2024-06-24 08:42:33,3,0,0,9997,8,35,35,0,31.998046875,35,26,73,863,798,32.0,65,8,127,153,26,31.998046875,127,2,5,161,156,32.0,5
2024-06-24 08:42:34,4,0,0,9996,8,35,35,0,31.998046875,35,29,76,909,842,32.0,67,8,154,187,33,31.998046875,154,2,5,171,166,32.0,5
2024-06-24 08:42:35,5,0,0,9995,8,35,35,0,31.998046875,35,33,78,957,888,32.0,69,8,181,221,40,31.998046875,181,2,5,181,176,32.0,5
2024-06-24 08:42:36,6,0,0,9994,8,35,35,0,31.998046875,35,36,80,1010,939,32.0,71,8,208,255,47,31.998046875,208,2,5,191,186,32.0,5
2024-06-24 08:42:37,7,0,0,9993,8,35,35,0,31.998046875,35,40,83,1065,992,32.0,73,8,235,289,54,31.998046875,235,2,5,201,196,32.0,5
