,,,,,globalP,globalP,globalP,globalP,globalP,globalP,packetP,packetP,packetP,packetP,packetP,packetP,sessionP,sessionP,sessionP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_amf,phoenix_memory_cm_used_chunk_count_cm_globalP_amf,phoenix_memory_pool_create_count_cm_globalP_amf,phoenix_memory_pool_destroy_count_cm_globalP_amf,total_allocated_memory_globalP_amf,chunk_create_count_minus_destroy_count_cm_globalP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_amf,phoenix_memory_cm_used_chunk_count_cm_packetP_amf,phoenix_memory_pool_create_count_cm_packetP_amf,phoenix_memory_pool_destroy_count_cm_packetP_amf,total_allocated_memory_packetP_amf,chunk_create_count_minus_destroy_count_cm_packetP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_amf,phoenix_memory_cm_used_chunk_count_cm_sessionP_amf,phoenix_memory_pool_create_count_cm_sessionP_amf,phoenix_memory_pool_destroy_count_cm_sessionP_amf,total_allocated_memory_sessionP_amf,chunk_create_count_minus_destroy_count_cm_sessionP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_amf,phoenix_memory_cm_used_chunk_count_cm_transactionP_amf,phoenix_memory_pool_create_count_cm_transactionP_amf,phoenix_memory_pool_destroy_count_cm_transactionP_amf,total_allocated_memory_transactionP_amf,chunk_create_count_minus_destroy_count_cm_transactionP_amf
timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-24 08:42:29,0,0,0,10000,6,32,32,0,32.0,32,19,7,532,525,32.0,7,2,15,17,2,32.0,15,2,8,53,45,32.0,8
2024-06-24 08:42:30,0,0,0,10000,6,32,32,0,32.0,32,19,7,550,543,32.0,7,2,15,17,2,32.0,15,2,8,54,46,32.0,8
2024-06-24 08:42:31,1,0,0,9999,6,32,32,0,32.0,32,19,16,596,582,32.0,14,2,16,19,3,32.0,16,4,9,91,82,32.0,9
2024-06-24 08:42:32,2,0,0,9998,6,32,32,0,32.0,32,22,25,646,625,32.0,21,2,17,21,4,32.0,17,4,10,128,118,32.0,10
2024-06-24 08:42:33,3,0,0,9997,6,32,32,0,32.0,32,25,35,699,671,32.0,28,2,18,23,5,32.0,18,4,11,165,154,32.0,11
2024-06-24 08:42:34,4,0,0,9996,6,33,33,0,32.0,33,29,44,756,721,32.0,35,2,19,25,6,32.0,19,4,12,202,190,32.0,12
2024-06-24 08:42:35,5,0,0,9995,6,33,33,0,32.0,33,32,53,816,774,32.0,42,2,20,27,7,32.0,20,4,13,239,226,32.0,13
2024-06-24 08:42:36,6,0,0,9994,6,33,33,0,32.0,33,36,63,880,831,32.0,49,2,21,29,8,32.0,21,4,14,276,262,32.0,14
