,,,,,globalP,globalP,globalP,globalP,globalP,globalP,packetP,packetP,packetP,packetP,packetP,packetP,sessionP,sessionP,sessionP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_smf,phoenix_memory_cm_used_chunk_count_cm_globalP_smf,phoenix_memory_pool_create_count_cm_globalP_smf,phoenix_memory_pool_destroy_count_cm_globalP_smf,total_allocated_memory_globalP_smf,chunk_create_count_minus_destroy_count_cm_globalP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_smf,phoenix_memory_cm_used_chunk_count_cm_packetP_smf,phoenix_memory_pool_create_count_cm_packetP_smf,phoenix_memory_pool_destroy_count_cm_packetP_smf,total_allocated_memory_packetP_smf,chunk_create_count_minus_destroy_count_cm_packetP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_smf,phoenix_memory_cm_used_chunk_count_cm_sessionP_smf,phoenix_memory_pool_create_count_cm_sessionP_smf,phoenix_memory_pool_destroy_count_cm_sessionP_smf,total_allocated_memory_sessionP_smf,chunk_create_count_minus_destroy_count_cm_sessionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_smf,phoenix_memory_cm_used_chunk_count_cm_transactionP_smf,phoenix_memory_pool_create_count_cm_transactionP_smf,phoenix_memory_pool_destroy_count_cm_transactionP_smf,total_allocated_memory_transactionP_smf,chunk_create_count_minus_destroy_count_cm_transactionP_smf
timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-24 08:39:03,0,0,0,10000,8,35,35,0,31.998046875,35,11,9,1390,1381,32.0,9,5,46,51,5,31.998046875,46,1,5,328,323,32.0,5
2024-06-24 08:39:04,1,0,0,9999,8,35,35,0,31.998046875,35,11,9,1403,1394,32.0,9,5,46,51,5,31.998046875,46,1,5,331,326,32.0,5
2024-06-24 08:39:05,2,0,0,9998,8,35,35,0,31.998046875,35,11,12,1433,1421,32.0,12,8,73,85,12,31.998046875,73,2,5,341,336,32.0,5
2024-06-24 08:39:06,3,0,0,9997,8,35,35,0,31.998046875,35,15,16,1465,1450,32.0,15,8,100,119,19,31.998046875,100,2,5,351,346,32.0,5
2024-06-24 08:39:07,4,0,0,9996,8,35,35,0,31.998046875,35,18,19,1502,1484,32.0,18,8,127,153,26,31.998046875,127,2,5,361,356,32.0,5
2024-06-24 08:39:08,5,0,0,9995,8,35,35,0,31.998046875,35,22,23,1541,1520,32.0,21,8,154,187,33,31.998046875,154,2,5,371,366,32.0,5
2024-06-24 08:39:09,6,0,0,9994,8,35,35,0,31.998046875,35,26,26,1586,1562,32.0,24,8,181,221,40,31.998046875,181,2,5,381,376,32.0,5
2024-06-24 08:39:10,7,0,0,9993,8,35,35,0,31.998046875,35,29,30,1632,1605,32.0,27,8,208,255,47,31.998046875,208,2,5,391,386,32.0,5
2024-06-24 08:39:11,8,0,0,9992,8,35,35,0,31.998046875,35,33,33,1684,1654,32.0,30,8,235,289,54,31.998046875,235,2,5,401,396,32.0,5
